base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct
SP,DCAM,CAM0020,no limite: modelo 1.07x o total medido,8.681,8.136,-0.545,8.1768,7.5116,1232,106.7,True,False,False,,,34.5,545,91.6,21,True,0,OK,1.023,1.078,4859,70.4
SP,DVAR,VAR0107,no limite: modelo 1.07x o total medido,8.5,7.949,-0.551,11.2607,10.3656,3810,106.9,True,False,False,,,13.8,1785,335.01,16,True,0,OK,0.967,1.044,1,60.3
SP,DJGL,JGL0106,a investigar,8.356,6.725,-1.631,3.5959,3.3541,912,124.2,True,False,False,,,13.8,682,50.03,8,True,0,OK,1.039,1.054,974,67.9
SP,DREG,REG0301,medida quase sem perda: 2.06% total medido,6.618,2.062,-4.556,38.0565,37.2716,11044,320.9,True,False,False,,,34.5,2500,889.0,4,True,0,OK,0.375,0.939,5951,73.3
SP,DCAM,CAM0109,denominador minusculo: 0.274 GWh injetados,5.878,5.367,-0.511,0.2742,0.2595,79,109.5,True,False,False,,,34.5,545,91.6,21,True,0,OK,1.023,1.078,4859,70.4
SP,DREG,REG0303,no limite: modelo 1.14x o total medido,5.61,4.922,-0.688,38.2169,36.336,15575,114.0,True,False,False,,,34.5,2500,889.0,4,True,0,OK,0.375,0.939,5951,73.3
SP,DMEN,MEN0104,denominador minusculo: 0.267 GWh injetados,5.262,4.773,-0.489,0.2671,0.2543,120,110.3,True,False,False,,,13.8,511,59.24,10,True,0,OK,1.049,1.063,1,81.6
SP,TBAN,BAN0206,a investigar,5.182,4.003,-1.179,4.8399,4.6461,805,129.4,True,False,False,,,34.5,1139,380.35,38,True,0,OK,0.266,0.976,7,56.5
SP,DSND,SND0104,no limite: modelo 1.10x o total medido,3.579,3.24,-0.339,249.6752,241.5847,4804,110.4,True,False,False,,,13.8,1247,122.26,16,True,0,OK,1.018,1.049,0,65.2
SP,DSOC,SOC0102,medida quase sem perda: 2.13% total medido,3.069,2.127,-0.942,21.5651,21.1064,8700,144.3,True,False,False,,,13.8,364,47.91,4,True,0,OK,1.062,1.072,2430,80.5
SP,DCLE,CLE0103,medida quase sem perda: 2.07% total medido,2.499,2.068,-0.431,22.1288,21.6711,351,120.8,True,False,False,,,13.8,862,74.9,16,True,0,OK,1.034,1.054,0,60.9
