base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct
NEOENERGIA385,SJB01,SJB01_AL010,perda modelada absurda: 1489.4%,1489.401,4.911,-1484.49,28.6661,27.2583,5846,30327.2,True,False,False,,,13.8,3096,1002.73,10,True,0,OK,0.078,0.502,22477,7.3
NEOENERGIA385,SJB01,SJB01_AL008,perda modelada absurda: 1478.0%,1478.018,15.27,-1462.748,21.9686,18.6139,3710,9679.1,True,False,False,,,13.8,3096,1002.73,10,True,0,OK,0.078,0.502,22477,7.3
NEOENERGIA385,CJO01,CJO01_AL023,perda modelada absurda: 1474.2%,1474.212,11.506,-1462.706,17.9441,15.8795,2153,12812.3,True,False,False,,,13.8,3404,1083.9,10,True,0,OK,0.062,0.719,22055,9.0
NEOENERGIA385,MOM01,MOM01_AL012,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.30],1428.454,4.685,-1423.769,39.4442,37.5963,7,30490.3,True,False,False,,,13.8,1415,373.89,9,True,0,TENSAO_IMPLAUSIVEL[C-API:0.30],0.058,0.292,10523,11.6
NEOENERGIA385,ATI01,ATI01_AL008,perda modelada absurda: 1406.2%,1406.218,7.377,-1398.841,41.6647,38.5911,8587,19062.4,True,False,False,,,13.8,2610,615.08,10,True,0,OK,0.059,0.745,19606,7.1
NEOENERGIA385,AGI01,AGI01_AL007,perda modelada absurda: 1349.8%,1349.754,7.137,-1342.617,40.2533,37.3806,6405,18913.1,True,False,False,,,13.8,1476,687.23,6,True,0,OK,0.061,0.492,10850,10.7
NEOENERGIA385,UBA01,UBA01_AL021,perda modelada absurda: 1328.9%,1328.876,8.669,-1320.207,17.7359,16.1983,5783,15328.5,True,False,False,,,13.8,1635,344.95,13,True,0,OK,0.059,0.851,9609,9.5
NEOENERGIA385,LIM06,LIM06_AL057,perda modelada absurda: 1251.6%,1251.644,5.209,-1246.435,16.145,15.3039,2525,24027.4,True,False,False,,,13.8,705,150.71,5,True,0,OK,0.529,0.733,5112,37.4
NEOENERGIA385,CON01,CON01_AL015,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.31],1184.77,13.339,-1171.431,13.1228,11.3723,2766,8882.0,True,False,False,,,13.8,2507,1222.3,6,True,0,TENSAO_IMPLAUSIVEL[C-API:0.31],0.052,0.279,11189,6.1
NEOENERGIA385,BER01,BER01_AL013,perda modelada absurda: 1169.2%,1169.182,14.304,-1154.878,18.5095,15.8619,4095,8173.9,True,False,False,,,13.8,553,115.31,6,True,0,OK,0.444,0.925,3228,28.5
NEOENERGIA385,CAJ01,CAJ01_AL010,perda modelada absurda: 1149.9%,1149.929,24.048,-1125.881,13.1574,9.9933,2807,4781.7,True,False,False,,,34.5,2889,1153.77,7,True,0,OK,0.06,0.505,14503,24.6
NEOENERGIA385,POP01,POP01_AL008,perda modelada absurda: 1113.3%,1113.311,30.791,-1082.52,10.4034,7.2001,1194,3615.7,True,False,False,,,13.8,814,513.95,4,True,0,OK,0.308,0.499,7579,11.8
NEOENERGIA385,ARN01,ARN01_AL009,perda modelada absurda: 1096.3%,1096.273,7.585,-1088.688,27.968,25.8465,6945,14452.4,True,False,False,,,13.8,1458,409.96,7,True,0,OK,0.079,0.69,10440,11.8
NEOENERGIA385,LEM01,LEM01_AL012,perda modelada absurda: 1063.6%,1063.649,5.082,-1058.567,31.7718,30.1571,5690,20927.8,True,False,False,,,13.8,2014,702.51,10,True,0,OK,0.059,0.693,17064,10.4
NEOENERGIA385,SAP01,SAP01_AL007,perda modelada absurda: 1058.4%,1058.437,11.509,-1046.928,25.0722,22.1866,4214,9196.5,True,False,False,,,13.8,590,191.42,4,True,0,OK,0.066,0.755,4472,10.5
NEOENERGIA385,COR01,COR01_AL009,perda modelada absurda: 1045.3%,1045.28,38.291,-1006.989,32.1531,19.8413,2922,2729.8,True,False,False,,,13.8,642,193.05,9,True,0,OK,0.214,0.776,5443,13.1
NEOENERGIA385,TRL02,TRL02_AL026,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.45],1044.26,4.936,-1039.324,4.9364,4.6927,905,21156.2,True,False,False,,,13.8,856,511.48,10,True,0,TENSAO_IMPLAUSIVEL[C-API:0.45],0.016,0.379,6339,40.9
NEOENERGIA385,ARR01,ARR01_AL013,perda modelada absurda: 984.3%,984.329,8.235,-976.094,25.1771,23.1037,139,11952.4,True,False,False,,,13.8,1372,404.57,10,True,0,OK,0.647,0.907,10039,9.0
NEOENERGIA385,TAT02,TAT02_AL017,perda modelada absurda: 975.8%,975.812,4.792,-971.02,36.2662,34.5283,6554,20362.8,True,False,False,,,13.8,1554,450.93,8,True,0,OK,0.347,0.577,10926,13.6
NEOENERGIA385,MIR01,MIR01_AL004,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.48],963.106,2.647,-960.459,11.1893,10.8931,2018,36378.3,True,False,False,,,13.8,2528,1364.55,8,True,0,TENSAO_IMPLAUSIVEL[C-API:0.48],0.062,0.363,16309,6.3
NEOENERGIA385,PIP01,PIP01_AL005,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.34],962.329,6.45,-955.879,37.5436,35.122,10195,14919.6,True,False,False,,,13.8,4861,2770.29,9,True,0,TENSAO_IMPLAUSIVEL[C-API:0.34],0.044,0.224,22880,10.4
NEOENERGIA385,PAA22,PAA22_AL021,perda modelada absurda: 937.2%,937.235,13.357,-923.878,8.8845,7.6977,3722,7016.6,True,False,False,,,13.8,1200,428.49,5,True,0,OK,0.315,0.639,7718,19.7
NEOENERGIA385,CST01,CST01_AL007,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.38],852.765,15.752,-837.013,2.5091,2.1139,496,5413.8,True,False,False,,,13.8,1114,593.09,5,True,0,TENSAO_IMPLAUSIVEL[C-API:0.38],0.062,0.383,4674,6.8
NEOENERGIA385,FRM01,FRM01_AL024,perda modelada absurda: 804.2%,804.224,14.728,-789.496,30.953,26.3942,8711,5460.5,True,False,False,,,13.8,1192,269.65,10,True,0,OK,0.381,0.926,6643,24.7
NEOENERGIA385,PAN01,PAN01_AL005,perda modelada absurda: 801.3%,801.342,10.36,-790.982,21.6743,19.4288,5651,7734.8,True,False,False,,,13.8,940,346.69,5,True,0,OK,0.06,0.641,7167,9.9
