base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct
CPFL_PIRAT2937,IBI,IBI90,medida quase sem perda: 2.24% total medido,4.805,2.239,-2.566,47.4826,46.4195,1893,214.6,True,False,False,,,24,1620,504.02,8,True,0,OK,0.909,0.945,1800,63.2
CPFL_PIRAT2937,CLO,CLO13,no limite: modelo 1.06x o total medido,3.33,3.145,-0.185,66.2526,64.1689,3368,105.9,True,False,False,,,13.8,747,215.46,5,True,0,OK,0.567,0.901,5699,50.2
