node#424289690, -46.22204631, -22.18880453
node#441668942, -46.22246396, -22.18876841
node#441671066, -46.15922814, -22.37274571
node#441670596, -46.15952490, -22.37260622
node#432480727, -46.05211206, -22.21012338
node#432481196, -46.05352750, -22.21046171
node#2585164188, -46.14147449, -22.44251146
node#2585164263, -46.14148087, -22.44249417
node#431986591, -46.21827940, -22.42883636
node#431987286, -46.22080208, -22.43076536
node#439003759, -46.16574542, -22.27113497
node#439003982, -46.16581169, -22.27092668
node#432329490, -46.20633897, -22.40970773
node#442018639, -46.20663630, -22.41016239
node#424540251, -46.08958020, -22.33164302
node#424540401, -46.08996648, -22.33136940
node#430524984, -46.06291263, -22.15507318
node#430524985, -46.06333822, -22.15510762
node#442171839, -46.04752498, -22.32929853
node#442171840, -46.04694410, -22.32950999
node#424540116, -46.21223890, -22.37173249
node#424541121, -46.21257266, -22.37128565
node#424471200, -46.29313997, -22.18462317
node#424471201, -46.29364985, -22.18501797
node#431985732, -46.21169907, -22.33093277
node#432155891, -46.21105653, -22.33101641
node#424542110, -46.10557980, -22.40718236
node#424542111, -46.10528119, -22.40654720
node#424287731, -46.22347919, -22.19790271
node#424289726, -46.22273259, -22.19810562
node#424354701, -46.12927449, -22.28587791
node#424354761, -46.13006303, -22.28642874
node#424287551, -46.23206752, -22.24638728
node#424355066, -46.23245723, -22.24781820
node#424543276, -46.22170079, -22.27882598
node#424289520, -46.22510400, -22.27934116
node#424417432, -46.27449767, -22.18415132
node#424417433, -46.27545358, -22.18417415
node#1176083729, -46.10670229, -22.38907815
node#1176083786, -46.10669257, -22.38910350
node#431635692, -46.13672109, -22.50947608
node#431635577, -46.13644569, -22.51149348
node#2688748231, -46.20887678, -22.35823738
node#2737346661, -46.20911503, -22.35819247
node#424356056, -46.23703931, -22.23641460
node#424356045, -46.23789501, -22.23658446
node#430869281, -46.06375791, -22.15520331
node#1450753742, -46.06486074, -22.15548998
node#2462128299, -46.06447959, -22.35015502
node#2462128309, -46.06476706, -22.35016718
node#436409885, -46.14113797, -22.14218550
node#436409770, -46.14003791, -22.14164213
node#442020002, -46.21709380, -22.42797401
node#431130083, -46.19066623, -22.34720500
node#431130107, -46.19101658, -22.34725669
node#2704133875, -46.16214278, -22.27976971
node#424415512, -46.16198181, -22.28001071
node#424417337, -46.27564769, -22.29813338
node#424417343, -46.27283376, -22.29766933
node#424470936, -46.14008800, -22.26304858
node#424415182, -46.13965088, -22.26423796
node#432479305, -46.18192509, -22.25132362
node#424615938, -46.18250602, -22.25113867
node#436788804, -46.10088686, -22.16793879
node#436788805, -46.10059821, -22.16848941
node#424542865, -46.21763398, -22.19016456
node#424542715, -46.21726698, -22.18993458
node#441670008, -46.13763222, -22.38496470
node#441669622, -46.13751527, -22.38532986
node#424613749, -46.07279412, -22.32128419
node#432331186, -46.07392512, -22.32073486
node#442171340, -46.10689808, -22.23519380
node#442171266, -46.10739900, -22.23504673
100#1787038312, -46.24540424, -22.49807456
node#424472505, -46.24540900, -22.49806180
node#2770385837, -46.14615311, -22.25333125
node#2770385749, -46.14586385, -22.25323306
node#424355936, -46.23476019, -22.19086513
node#424355940, -46.23571838, -22.19018671
node#431985756, -46.21185052, -22.24427301
node#424541215, -46.21107812, -22.24424313
node#431987631, -46.11954228, -22.46814712
node#431987531, -46.11976934, -22.46859690
node#424542986, -46.11289023, -22.37272351
node#424289305, -46.11283730, -22.37204262
node#442170846, -46.10988219, -22.41097909
node#442170847, -46.11007462, -22.41056729
node#424540531, -46.09381532, -22.28852384
node#424540650, -46.09323731, -22.28865397
node#442171282, -46.10599433, -22.41078496
