base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct,se_n_linhas,se_ramos_isolados
ENERGISA_A26,5972954,91738965,perda modelada absurda: 114.4%,114.373,48.831,-65.542,8.9384,4.5737,2983,234.2,True,False,False,11.797350313907335,9.69480408369082,13.8,10687,4820.87,12,True,0,OK,0.012,1.036,1689,87.1,65294,116
ENERGISA_A26,26790267,27594465,perda modelada absurda: 42.2%,42.155,6.723,-35.432,2.7886,2.6011,1141,627.0,True,False,False,,,13.8,941,433.45,4,True,0,OK,0.694,1.024,78,95.4,4834,0
ENERGISA_A26,5972954,16648603,a investigar,14.572,7.916,-6.656,11.921,10.9773,4771,184.1,True,False,False,,,13.8,10687,4820.87,12,True,0,OK,0.012,1.036,1689,87.1,65294,116
ENERGISA_A26,6853224,26395219,a investigar,12.196,7.742,-4.454,3.8324,3.5357,1744,157.5,True,False,False,20.48328087370923,0.5954124280770787,13.8,7433,3819.74,6,True,0,OK,0.015,1.005,588,87.9,44800,182
ENERGISA_A26,4743865,97603745,no limite: modelo 1.17x o total medido,6.728,5.745,-0.983,16.2724,15.3375,7072,117.1,True,False,False,8.356058541585128,0.8051642968412847,13.8,3283,1695.34,3,True,0,OK,0.01,1.018,1410,95.5,18535,629
