MNEMONICO;N_CIRCUITOS;COD_SUB;NOME_SUB;CONFIANCA;COMO;ALTERNATIVAS;EXEMPLOS_NO_DIAGRAMA
MAU;2;DMAU;ETD MAUA;ALTA;abreviacao (peso 1);;"LTA CAP-MAU 1 ; LTA CAP-MAU 2"
EMG;2;TEMG;ETT EMBU GUACU;ALTA;abreviacao (peso 1);;"LTA EMG-ITP 1 ; LTA EMG-ITP 2"
ITP;2;DITP;ETD ITAPECERICA;ALTA;abreviacao (peso 1);;"LTA EMG-ITP 1 ; LTA EMG-ITP 2"
PGO;2;PPGO;PMF PORTO GOES;ALTA;abreviacao (peso 1);;"LTA ESO-PGO 1 ; LTA ESO-PGO 2"
SRO;2;PSRO;PMF SAO ROQUE;ALTA;abreviacao (peso 1);;"LTA ESO-SRO 1 ; LTA ESO-SRO 2"
COT;2;DCOT;ETD COTIA;ALTA;abreviacao (peso 1);;"LTA JAD-COT 1 ; LTA JAD-COT 2"
IVI;2;DIVI;ETD ITAPEVI;ALTA;abreviacao (peso 1);;"LTA JAD-IVI 1 ; LTA JAD-IVI 2"
MBE;2;DMBE;ETD MONTE BELO;ALTA;abreviacao (peso 1);;"LTA JAD-MBE 1 ; LTA JAD-MBE 2"
JOD;2;;;ABERTO;sem candidato;;"LTA JOD-EMB 1 ; LTA JOD-EMB 2"
EMB;2;DEMB;ETD EMBU;ALTA;abreviacao (peso 1);TEMG|ETT EMBU GUACU;"LTA JOD-EMB 1 ; LTA JOD-EMB 2"
CON;2;DCON;ETD CONTINENTAL;MEDIA;abreviacao (peso 1);BCON|EBC CONTINENTAL / DCOG|ETD CONGONHAS / RCOG|ETR CONGONHAS;"LTA MFO-CON 1 ; LTA MFO-CON 2"
REM;2;DREM;ETD REMEDIOS;ALTA;abreviacao (peso 1);;"LTA MFO-REM 1 ; LTA MFO-REM 2"
TSE;2;DTSE;ETD TABOAO DA SERRA;ALTA;abreviacao (peso 1);;"LTA MFO-TSE 1 ; LTA MFO-TSE 2"
NOD;2;TNOD;ETT NORDESTE;ALTA;abreviacao (peso 1);;"LTA NOD-VOL 1 ; LTA NOD-VOL 2"
PEN;2;DPEN;ETD PENHA;MEDIA;abreviacao (peso 1);BPEN|EBC PENHA;"LTA NOR-PEN 1 ; LTA NOR-PEN 2"
PI2;2;TPI2;ETT PIRATININGA II;ALTA;abreviacao (peso 1);;"LTA PI2-HB 1 ; LTA PI2-HB 2"
LAP;2;DLAP;ETD LAPA;ALTA;abreviacao (peso 1);;"LTA PRI-LAP 1 ; LTA PRI-LAP 2"
TED;2;DTED;ETD THOMAZ EDISON;ALTA;abreviacao (peso 1);;"LTA PRI-TED 1 ; LTA PRI-TED 2"
CRA;2;DCRA;ETD CARRAO;ALTA;abreviacao (peso 1);;"LTA RRF-CRA 1 ; LTA RRF-CRA 2"
SIL;2;DSIL;ETD SILVESTRE;ALTA;abreviacao (peso 1);;"LTA RRF-SIL 3 ; LTA RRF-SIL 4"
ALV;2;DALV;ETD ALVARENGA;MEDIA;abreviacao (peso 1);BALV|EBC ALVARENGA;"LTA SUL-ALV 1 ; LTA SUL-ALV 2"
SCS;2;BSCS;EBC SAO CAETANO;MEDIA;abreviacao (peso 1);OSCS|EOC SAO CAETANO;"LTA SUL-SCS 1 ; LTA SUL-SCS 2"
ZF;2;;;ABERTO;sem candidato;;"LTA SUL-ZF 3 ; LTA SUL-ZF 4"
GCA;2;DGCA;ETD GOMES CARDIM;MEDIA;abreviacao (peso 1);RGCA|ETR GOMES CARDIM;"LTS ADE-GCA-1 ; LTS GCA-1"
AUT;2;DAUT;ETD AUTONOMISTAS;MEDIA;abreviacao (peso 1);RAUT|ETR AUTONOMISTAS;"LTS AUT-1 ; LTS AUT-2"
BAL;2;DBAL;ETD BELA ALIANCA;ALTA;abreviacao (peso 1);;"LTS BAL-1 ; LTS BAL-2"
BRG;2;DBRG;ETD BRIGADEIRO;ALTA;abreviacao (peso 1);;"LTS BAN-BRG-1 ; LTS BAN-BRG-2"
SUM;2;DSUM;ETD SUMARE;ALTA;abreviacao (peso 1);;"LTS BUT-SUM ; LTS SUM-AUG"
CLE;2;DCLE;ETD CLEMENTINO;MEDIA;abreviacao (peso 1);RCLE|ETR CLEMENTINO / BCLE|EBC CLEMENTINO;"LTS CLE-3 ; LTS CLE-4"
AUG;2;DAUG;ETD AUGUSTA;ALTA;abreviacao (peso 1);;"LTS CTR-AUG ; LTS SUM-AUG"
GJU;2;DGJU;ETD GRANJA JULIETA;ALTA;abreviacao (peso 1);;"LTS GJU-ABV-3 ; LTS GJU-ABV-4"
ABV;2;DABV;ETD ALTO DA BOA VISTA;ALTA;abreviacao (peso 1);;"LTS GJU-ABV-3 ; LTS GJU-ABV-4"
IPR;2;DIPR;ETD IPIRANGA;MEDIA;abreviacao (peso 1);RIPR|ETR IPIRANGA;"LTS IPR-JGL-1 ; LTS IPR-JGL-2"
JGL;2;DJGL;ETD JARDIM DA GLORIA;ALTA;abreviacao (peso 1);;"LTS IPR-JGL-1 ; LTS IPR-JGL-2"
IBP;2;DIBP;ETD IBIRAPUERA;ALTA;abreviacao (peso 1);;"LTS ITA-IBP 1 ; LTS ITA-IBP 2"
OSA;2;DOSA;ETD OSASCO;MEDIA;abreviacao (peso 1);ROSA|ETR OSASCO / BOSA|EBC OSASCO;"LTS MFO-OSA 1 ; LTS MFO-OSA 2"
PPR;2;DPPR;ETD PONTE PRETA;MEDIA;abreviacao (peso 1);RPPR|ETR PONTE PRETA / BPPR|EBC PONTE PRETA;"LTS PPR-1 ; LTS PPR-2"
VME;2;DVME;ETD VILA MEDEIROS;MEDIA;abreviacao (peso 1);RVME|ETR VILA MEDEIROS;"LTS VME-TUC 1 ; LTS VME-TUC 2"
TUC;2;DTUC;ETD TUCURUVI;ALTA;abreviacao (peso 1);;"LTS VME-TUC 1 ; LTS VME-TUC 2"
MON;2;DMON;ETD MONUMENTO;ALTA;abreviacao (peso 1);DMAZ|ETD MONTE AZUL / DMBE|ETD MONTE BELO / DMOC|ETD MONCOES;"LTS WIL-MON-5 ; LTS WIL-MON-6"
ASCE;2;ASCE;ETC ASCENTY;ALTA;abreviacao (peso 0);;"RAC ASCE-1 ; RAC ASCE-2"
BTW;2;;;ABERTO;sem candidato;;"RAC BTW-1 ; RAC BTW-2"
BVM;2;BVMF;ETC BVMF BOVESPA;ALTA;abreviacao (peso 3);;"RAC BVM-1 ; RAC BVM-2"
COFAP;2;COFA;ETC COFAP SANTO ANDRE;ALTA;abreviacao (peso 2);;"RAC COFAP-SND 1 ; RAC COFAP-SND 2"
ELUMA;2;ELUC;ETC ELUMA CAPUAVA;MEDIA;abreviacao (peso 2);ELUT|ETC ELUMA UTINGA;"RAC ELUMA-CAP 1 ; RAC ELUMA-CAP 2"
JSERRANO;2;JSER;ETC JSERRANO;ALTA;abreviacao (peso 2);;"RAC JSERRANO-1 ; RAC JSERRANO-2"
LIBBS;2;LIBB;ETC LIBBS;ALTA;abreviacao (peso 2);;"RAC LIBBS-1 ; RAC LIBBS-2"
BEL;2;RBEL;ETR BELEM;ALTA;abreviacao (peso 1);DBAL|ETD BELA ALIANCA;"RAE BEL-1 ; RAE BEL-2"
BJU;2;DBJU;ETD BOM JESUS;ALTA;abreviacao (peso 1);;"RAE BJU-1 ; RAE BJU-2"
CAC;2;DCAC;ETD CAUCAIA;ALTA;abreviacao (peso 1);;"RAE CAC-1 ; RAE CAC-2"
GVI;2;DGVI;ETD GRANJA VIANA;ALTA;abreviacao (peso 1);;"RAE GVI-1 ; RAE GVI-2"
JAC;2;DJAC;ETD JACANA;MEDIA;abreviacao (peso 1);RJAC|ETR JACANA;"RAE JAC-1 ; RAE JAC-2"
BUT;1;DBUT;ETD BUTANTA;MEDIA;abreviacao (peso 1);OBUT|EOC BUTANTA / IBUT|ETC INSTITUTO BUTANTA;LTS BUT-SUM
BRA;1;DBRA;ETD BRAS;ALTA;abreviacao (peso 1);DBSI|ETD BRASILANDIA / BRAD|ETC BRADESCO;LTS PSO-BRA
TERMOMEC;1;RTER;ETR TERMOMECANICA;MEDIA;abreviacao (peso 3);TER1|ETC TERMOMECANICA I / TER2|ETC TERMOMECANICA II;LTS TERMOMEC-I
I;1;TPRI;ETT PIRITUBA;MEDIA;abreviacao (peso 1);DBAI|ETD BUENOS AIRES / DBSI|ETD BRASILANDIA / DCAI|ETD CANINDE;LTS TERMOMEC-I
ASE;1;DASE;ECD ALDEIA DA SERRA;ALTA;abreviacao (peso 1);ASEA|ETC ASEA BROW BOVERI;RAE ASE-1
PLA;1;DPLA;ECD PARQUE DOS LAGOS;ALTA;abreviacao (peso 1);DPPU|ETD PLANALTO PAULISTA / PLAV|ETC PLAVINIL;RAE PLA-2
