base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas
NEOENERGIA40,JDR,2297,perda modelada absurda: 16.4%,16.368,12.12,-4.248,5.6733,4.9857,707,135.0,True,False,False,6.938793755860766,2.3589114442513828,13.8,454,427.67,5,True,0,OK,0.846,0.948,1788
NEOENERGIA40,STU,2313,modelo quebrado na SE: NAO_CONVERGE[C-API:500],15.492,8.345,-7.147,4.7156,4.3221,2578,185.7,True,False,False,11.36540687982353,1.363083624177346,13.8,2794,1486.79,13,False,0,NAO_CONVERGE[C-API:500],,,
NEOENERGIA40,PNC,1829,perda modelada absurda: 15.1%,15.091,5.053,-10.038,18.681,17.7371,6453,298.7,True,False,False,7.074245130659181,2.1332311393334225,13.8,541,357.14,4,True,0,OK,0.877,0.953,1166
NEOENERGIA40,PLT,2265,modelo quebrado na SE: NAO_CONVERGE[C-API:500],14.284,5.51,-8.774,15.3292,14.4845,8005,259.2,True,False,False,7.360202788619132,1.9407073976394964,13.8,253,59.9,5,False,0,NAO_CONVERGE[C-API:500],,,
NEOENERGIA40,CGR,1798,modelo quebrado na SE: NAO_CONVERGE[C-API:500],13.858,3.963,-9.895,8.8941,8.5417,3574,349.7,True,False,False,9.285301445956119,1.4924663545560342,13.8,679,421.2,5,False,0,NAO_CONVERGE[C-API:500],0.804,0.886,4441
NEOENERGIA40,PSA,2180,modelo quebrado na SE: NAO_CONVERGE[C-API:500],13.175,2.301,-10.874,33.0213,32.2616,11573,572.7,True,False,False,4.583348984757585,2.874535638419607,13.8,304,80.36,4,False,0,NAO_CONVERGE[C-API:500],0.014,0.014,1
NEOENERGIA40,PNA,1964,modelo quebrado na SE: NAO_CONVERGE[C-API:500],12.31,6.248,-6.062,30.5312,28.6236,7136,197.0,True,False,False,4.892488932889011,2.5161017569703437,13.8,932,193.97,9,False,0,NAO_CONVERGE[C-API:500],,,
NEOENERGIA40,BRU,1791,modelo quebrado na SE: NAO_CONVERGE[C-API:500],11.772,4.271,-7.501,15.5119,14.8494,5458,275.6,True,False,False,8.45310753052998,1.3926239501252313,13.8,1417,721.84,4,False,0,NAO_CONVERGE[C-API:500],,,
NEOENERGIA40,JDR,2294,a investigar,10.626,6.689,-3.937,3.6527,3.4084,1336,158.9,True,False,False,8.988084816883216,1.1822318343102554,13.8,454,427.67,5,True,0,OK,0.846,0.948,1788
NEOENERGIA40,PLT,2264,modelo quebrado na SE: NAO_CONVERGE[C-API:500],10.097,8.669,-1.428,9.8952,9.0374,4341,116.5,True,False,False,5.042408133508597,2.0024162528419387,13.8,253,59.9,5,False,0,NAO_CONVERGE[C-API:500],,,
NEOENERGIA40,STU,2308,modelo quebrado na SE: NAO_CONVERGE[C-API:500],6.202,4.231,-1.971,12.3439,11.8216,3883,146.6,True,False,False,3.770421874575955,1.644908767854397,13.8,2794,1486.79,13,False,0,NAO_CONVERGE[C-API:500],,,
