base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto
CEEE_EQUAT5707,RG1,RG1RG106,medida quase sem perda: 2.56% total medido,3.607,2.561,-1.046,27.0248,26.3328,5995,140.9,True,False,False,,,23,712,112.35,7,True,0,OK
CEEE_EQUAT5707,P06,P06P0612,no limite: modelo 1.13x o total medido,3.531,3.13,-0.401,9.8624,9.5537,3537,112.8,True,False,False,,,13.8,941,161.7,9,True,0,OK
CEEE_EQUAT5707,RG1,RG1RG102,no limite: modelo 1.02x o total medido,3.525,3.44,-0.085,14.831,14.3209,6175,102.5,True,False,False,,,23,712,112.35,7,True,0,OK
CEEE_EQUAT5707,P03,P03P0313,medida quase sem perda: 2.29% total medido,3.498,2.293,-1.205,12.7751,12.4822,4194,152.5,True,False,False,,,23,816,95.8,11,True,0,OK
CEEE_EQUAT5707,VAS,VASVAS02,no limite: modelo 1.04x o total medido,3.462,3.337,-0.125,20.2308,19.5557,6307,103.8,True,False,False,,,23,3530,1512.23,5,True,0,OK
CEEE_EQUAT5707,P09,P09P0906,medida quase sem perda: 2.43% total medido,3.271,2.43,-0.841,9.7221,9.4858,3740,134.6,True,False,False,,,13.8,723,122.83,10,True,0,OK
CEEE_EQUAT5707,P10,P10P1006,medida quase sem perda: 2.65% total medido,3.256,2.646,-0.61,7.6063,7.405,2760,123.0,True,False,False,,,13.8,900,85.36,12,True,0,OK
CEEE_EQUAT5707,VAS,VASVAS03,medida quase sem perda: 2.52% total medido,3.202,2.525,-0.677,31.6474,30.8482,8305,126.8,True,False,False,,,23,3530,1512.23,5,True,0,OK
CEEE_EQUAT5707,POS,POSPOS03,medida quase sem perda: 2.12% total medido,3.175,2.12,-1.055,19.739,19.3205,53,149.8,True,False,False,,,23,1504,1227.38,4,True,0,OK
CEEE_EQUAT5707,ECZ,ECZECZ01,medida quase sem perda: 2.46% total medido,3.173,2.455,-0.718,25.3342,24.7123,8065,129.3,True,False,False,,,23,1340,980.71,4,True,0,OK
CEEE_EQUAT5707,PL2,PL2PL208,medida quase sem perda: 2.36% total medido,3.155,2.36,-0.795,20.2553,19.7773,6201,133.7,True,False,False,,,13.8,1077,158.99,12,True,0,OK
CEEE_EQUAT5707,TO1,TO1TO106,no limite: modelo 1.03x o total medido,3.148,3.059,-0.089,17.6925,17.1513,5555,102.9,True,False,False,,,23,1547,478.44,7,True,0,OK
CEEE_EQUAT5707,P15,P15P1504,medida quase sem perda: 2.56% total medido,3.128,2.562,-0.566,10.5231,10.2535,2648,122.1,True,False,False,,,23,1081,163.27,8,True,0,OK
CEEE_EQUAT5707,BG1,BG1BG103,medida quase sem perda: 2.49% total medido,3.106,2.493,-0.613,23.1242,22.5478,6748,124.6,True,False,False,,,23,681,212.77,6,True,0,OK
CEEE_EQUAT5707,RG2,RG2RG209,medida quase sem perda: 2.52% total medido,3.097,2.516,-0.581,9.6958,9.4519,1349,123.1,True,False,False,,,23,487,63.04,10,True,0,OK
CEEE_EQUAT5707,P10,P10P1007,medida quase sem perda: 2.05% total medido,3.075,2.046,-1.029,16.9314,16.5849,5380,150.3,True,False,False,,,13.8,900,85.36,12,True,0,OK
CEEE_EQUAT5707,BG2,BG2BG206,medida quase sem perda: 2.30% total medido,3.074,2.302,-0.772,14.4112,14.0793,5737,133.5,True,False,False,,,23,2938,2727.85,9,True,0,OK
CEEE_EQUAT5707,PL2,PL2PL207,medida quase sem perda: 2.19% total medido,3.059,2.195,-0.864,18.4951,18.0891,6046,139.3,True,False,False,,,13.8,1077,158.99,12,True,0,OK
CEEE_EQUAT5707,PL2,PL2PL209,medida quase sem perda: 2.07% total medido,2.997,2.07,-0.927,11.3374,11.1027,2769,144.8,True,False,False,,,13.8,1077,158.99,12,True,0,OK
CEEE_EQUAT5707,P13,P13P1304,medida quase sem perda: 2.41% total medido,2.91,2.406,-0.504,18.1692,17.732,5248,120.9,True,False,False,,,13.8,1434,194.16,14,True,0,OK
CEEE_EQUAT5707,TAI,TAITAI02,no limite: modelo 1.15x o total medido,2.906,2.536,-0.37,2.8906,2.8173,6,114.6,True,False,False,,,13.8,359,390.19,4,True,0,OK
CEEE_EQUAT5707,P13,P13P1303,no limite: modelo 1.19x o total medido,2.88,2.425,-0.455,20.4354,19.9397,6526,118.7,True,False,False,,,13.8,1434,194.16,14,True,0,OK
CEEE_EQUAT5707,CM1,CM1CM104,no limite: modelo 1.00x o total medido,2.853,2.845,-0.008,30.0967,29.2405,8559,100.3,True,False,False,,,23,3426,1603.29,8,True,0,OK
CEEE_EQUAT5707,P03,P03P0307,no limite: modelo 1.10x o total medido,2.851,2.595,-0.256,15.1193,14.727,3082,109.9,True,False,False,,,23,816,95.8,11,True,0,OK
CEEE_EQUAT5707,P13,P13P1311,medida quase sem perda: 2.27% total medido,2.814,2.27,-0.544,17.016,16.6298,5771,124.0,True,False,False,,,13.8,1434,194.16,14,True,0,OK
CEEE_EQUAT5707,P03,P03P0302,no limite: modelo 1.13x o total medido,2.811,2.496,-0.315,18.0327,17.5826,5387,112.6,True,False,False,,,23,816,95.8,11,True,0,OK
CEEE_EQUAT5707,BG1,BG1BG104,no limite: modelo 1.04x o total medido,2.804,2.688,-0.116,18.7685,18.264,6485,104.3,True,False,False,,,23,681,212.77,6,True,0,OK
CEEE_EQUAT5707,RG2,RG2RG216,medida quase sem perda: 2.29% total medido,2.802,2.287,-0.515,12.107,11.83,1956,122.5,True,False,False,,,23,487,63.04,10,True,0,OK
CEEE_EQUAT5707,SAS,SASSAS03,medida quase sem perda: 2.05% total medido,2.797,2.051,-0.746,3.2254,3.1592,65,136.3,True,False,False,,,23,364,434.86,4,True,0,OK
CEEE_EQUAT5707,RG2,RG2RG213,no limite: modelo 1.16x o total medido,2.745,2.374,-0.371,15.0894,14.7312,4773,115.6,True,False,False,,,23,487,63.04,10,True,0,OK
CEEE_EQUAT5707,P16,P16P1605,medida quase sem perda: 2.27% total medido,2.742,2.268,-0.474,24.9214,24.3562,9972,120.9,True,False,False,,,13.8,1298,184.22,10,True,0,OK
CEEE_EQUAT5707,PL5,PL5PL512,no limite: modelo 1.17x o total medido,2.715,2.326,-0.389,31.1877,30.4623,8461,116.7,True,False,False,,,23,786,164.74,7,True,0,OK
CEEE_EQUAT5707,P12,P12P1202,no limite: modelo 1.01x o total medido,2.709,2.687,-0.022,28.5748,27.807,7067,100.8,True,False,False,,,13.8,1627,165.82,14,True,0,OK
CEEE_EQUAT5707,P02,P02P0201,no limite: modelo 1.06x o total medido,2.64,2.496,-0.144,8.4618,8.2506,2525,105.8,True,False,False,,,13.8,1082,94.35,13,True,0,OK
CEEE_EQUAT5707,GU1,GU1GU110,no limite: modelo 1.16x o total medido,2.638,2.272,-0.366,28.8092,28.1547,6012,116.1,True,False,False,,,23,2254,973.27,9,True,0,OK
